,name,Lat,Lng,temp,temp_max,humidity,clouds,speed
397,Umba,66.6871,34.3429,50.38,50.38,93,100,5.99
398,Arlit,18.7369,7.3853,86.61,86.61,46,79,11.5
399,Huruiești,46.2667,27.25,66.67,66.7,44,94,8.99
400,Roald,62.5833,6.1333,62.29,68.92,88,100,5.75
401,Mérida,20.9667,-89.6167,77.02,77.02,94,75,6.91
402,Phra Phutthabat,14.7253,100.7954,75.76,81.82,98,100,9.42
403,Kavieng,-2.5744,150.7967,82.83,82.83,73,45,5.75
404,Shelburne,44.0787,-80.2041,66.38,68.45,89,22,4.81
405,Bathsheba,13.2167,-59.5167,81.21,81.21,89,75,18.41
406,Kiryat Motzkin,32.8364,35.0753,75.02,75.02,87,0,7.99
407,Ursulo Galván,22.7333,-98.3,94.23,96.69,47,74,13.24
408,Karratha,-20.7377,116.8463,66.09,66.09,22,11,19.01
409,Coari,-4.085,-63.1414,80.42,80.42,55,60,3.58
410,Mosquera,4.7059,-74.2302,53.82,53.82,85,53,3.47
411,Quatre Cocos,-20.2078,57.7625,68.09,69.91,63,81,15.35
412,Piaçabuçu,-10.4056,-36.4344,71.58,71.58,79,34,8.39
413,San Carlos,9.6612,-68.5827,74.14,74.14,90,53,2.62
414,Samarai,-10.6167,150.6667,81.32,81.32,77,68,12.8
415,Fort Nelson,58.8053,-122.7002,85.59,85.59,37,20,3.44
416,Rudnichnyy,59.617,52.4703,61.79,61.79,86,73,5.06
417,Bondo,3.8146,23.6866,68.97,68.97,98,99,0.96
418,Caucayá,-0.1934,-74.7819,73.99,73.99,81,95,1.86
419,Yicheng,31.3705,119.8703,78.37,78.37,84,96,8.48
420,Vilyuysk,63.7553,121.6247,46.71,46.71,82,100,5.68
421,Philadelphia,39.9523,-75.1638,80.15,84.09,55,0,10.36
422,Viedma,-40.8135,-62.9967,49.87,49.87,48,100,5.79
423,Yaoundé,3.8667,11.5167,65.66,65.66,97,100,3.47
424,Dalby,-27.1833,151.2667,53.29,53.29,49,0,6.6
425,Kitimat,54.0524,-128.6534,86.92,91.78,52,4,0.76
426,Tucuruí,-3.7661,-49.6725,79.56,79.56,62,68,4.27
427,Dauphin,51.1494,-100.0502,66.34,66.34,55,0,6.91
428,Port Hedland,-20.3167,118.5667,68.05,68.05,17,2,18.41
429,Mogwase,-25.185,27.2665,56.21,56.21,41,0,4.34
430,Huanan,46.2167,130.5167,63.12,63.12,72,39,4.45
431,Tuy Hoa,13.0833,109.3,79.47,79.47,82,100,6.06
432,Sarkand,45.41,79.9186,62.06,62.06,29,96,2.73
433,Kaeo,-35.1,173.7833,60.33,60.33,96,100,21.09
434,Lavrentiya,65.5833,-171.0,42.22,42.22,85,99,9.84
435,Punta Alta,-38.8759,-62.0736,56.98,56.98,46,88,6.22
436,Kirby,29.4633,-98.3856,82.83,86.88,78,75,1.01
437,Atar,20.5169,-13.0499,92.77,92.77,39,27,15.32
438,Selty,57.3132,52.1345,62.33,62.33,75,28,3.51
439,Salalah,17.0151,54.0924,75.29,75.29,100,100,3.44
440,Huilong,31.8111,121.655,80.92,80.92,74,71,8.19
441,Clarksdale,34.2001,-90.5709,78.78,78.78,78,100,6.91
442,Bandarbeyla,9.4942,50.8122,77.0,77.0,74,0,24.16
443,Barabai,-2.5833,115.3833,76.01,76.01,92,99,1.16
444,Olinda,-8.0089,-34.8553,76.73,76.73,73,40,13.8
445,Ygatimi,-24.0833,-55.5,69.03,69.03,70,54,5.19
446,Barra dos Coqueiros,-10.9089,-37.0386,75.22,75.22,78,40,8.05
447,Kyabé,9.4515,18.9449,67.91,67.91,98,99,3.74
448,Kitami,43.8031,143.8908,74.66,74.66,59,99,6.02
449,Lüderitz,-26.6481,15.1594,58.96,58.96,83,63,4.34
450,Kenai,60.5544,-151.2583,62.38,62.65,70,75,9.22
451,Nikolayevsk-on-Amur,53.1406,140.73,63.19,63.19,49,5,3.91
452,Pantai Remis,4.4557,100.6288,75.22,75.22,88,83,4.03
453,Verkh-Usugli,52.7,115.1667,46.33,46.33,59,0,3.87
454,Antofagasta,-23.65,-70.4,56.48,56.48,84,36,6.33
455,El Cortezo,8.35,-80.6,76.77,76.77,90,100,7.43
456,Jizan,17.3333,42.6667,85.14,85.14,54,97,3.13
457,Aksu,41.1231,80.2644,72.61,72.61,37,100,14.67
458,Mingora,34.7758,72.3625,71.11,71.11,83,100,4.52
459,Kvarkeno,52.0833,59.725,62.4,62.4,54,19,3.85
460,Poso,-1.3959,120.7524,81.07,81.07,72,80,2.28
461,Kostomuksha,64.571,30.5767,50.25,50.25,95,100,10.89
462,Tual,-5.6667,132.75,79.11,79.11,79,93,23.87
463,Contai,21.7786,87.7536,78.82,78.82,82,4,7.11
464,Chingola,-12.529,27.8838,64.6,64.6,49,71,6.08
465,Bariloche,-41.1456,-71.3082,40.75,40.75,56,0,16.11
466,Kiryat Gat,31.61,34.7642,77.16,80.4,70,0,6.85
467,Yangi Marg`ilon,40.4272,71.7189,75.92,75.92,33,98,4.61
468,Itoigawa,37.0333,137.85,76.01,76.01,77,77,6.64
469,Saint-Leu,-21.15,55.2833,64.83,67.06,69,14,2.89
470,Imeni Poliny Osipenko,52.4201,136.4853,60.71,60.71,67,15,7.0
471,Nara,34.6851,135.8049,87.04,87.17,83,46,1.3
472,San Policarpo,12.1791,125.5072,84.15,84.15,73,76,6.11
473,Borovoy,55.4333,86.0833,56.48,56.48,88,0,4.47
474,Padang,-0.9492,100.3543,73.45,73.45,86,57,2.73
475,Whitehorse,60.7161,-135.0538,70.23,75.02,48,100,20.0
476,Vadsø,70.0744,29.7487,51.96,51.96,76,85,6.91
477,Sebastian,35.1668,-94.2669,84.58,84.79,47,13,5.03
478,Magadan,59.5667,150.8,52.99,52.99,82,100,6.69
479,Qazvin,36.2797,50.0049,65.05,65.05,60,0,8.1
480,Cockburn Town,21.4612,-71.1419,83.52,83.52,78,3,17.49
481,Namatanai,-3.6667,152.4333,84.36,84.36,64,71,2.8
482,Sangar,63.9242,127.4739,49.93,49.93,69,52,10.56
483,Anáhuac,27.2333,-100.15,97.3,97.3,32,83,9.75
484,Port Blair,11.6667,92.75,77.04,77.04,94,40,2.3
485,Luklukan,14.3254,122.7124,82.78,82.78,78,67,4.88
486,Vanavara,60.34,102.2797,47.28,47.28,95,99,6.98
487,Cocorit,27.5833,-109.9667,88.14,88.14,50,92,10.6
488,Áratos,41.0833,25.55,71.15,71.15,85,100,6.33
489,Syedove,47.0768,38.156,76.57,76.57,48,0,23.44
490,Athens,37.9795,23.7162,71.96,74.16,86,20,1.99
491,Broken Arrow,36.0526,-95.7908,86.92,88.59,41,0,8.05
492,Tarakan,3.3,117.6333,80.17,80.17,77,100,2.48
493,Folkestone,51.0833,1.1833,69.73,71.33,85,73,1.99
494,Humboldt,40.6665,-123.9178,53.53,74.61,54,3,7.11
495,Kulhudhuffushi,6.6221,73.07,79.11,79.11,80,100,15.57
496,Manokwari,-0.8667,134.0833,81.61,81.61,70,26,4.63
497,Florø,61.5996,5.0328,67.96,67.96,73,100,21.85
498,Faanui,-16.4833,-151.75,76.05,76.05,81,4,10.89
499,Tamala,52.541,43.2515,69.85,69.85,38,81,8.41
500,Rodeo,38.033,-122.2669,70.99,95.32,68,0,14.97
501,Katherine,-14.4667,132.2667,66.52,66.52,15,2,17.27
502,Halifax,44.6453,-63.5724,69.53,69.69,97,84,5.99
503,Qingdao,36.0986,120.3719,69.4,69.4,88,0,6.71
504,Kidal,18.4411,1.4078,86.54,86.54,47,11,12.53
505,Koboko,3.4136,30.9599,59.81,59.81,94,43,3.67
506,Nsanje,-16.92,35.262,64.94,64.94,77,81,2.26
507,Semnan,35.5729,53.3971,67.05,67.05,24,0,4.21
508,Agirish,61.9247,63.0231,54.09,54.09,54,79,5.23
509,Biak,-0.9131,122.8766,78.55,78.55,79,59,4.79
510,Gorontalo,0.5412,123.0595,80.17,80.17,79,21,0.58
511,Sisimiut,66.9395,-53.6735,43.2,43.2,89,100,3.91
512,Ciudad Bolivar,8.1222,-63.5497,80.78,80.78,70,74,3.36
513,Upata,8.0086,-62.3989,74.19,74.19,98,96,3.0
514,Kloulklubed,7.0419,134.2556,84.7,84.7,64,66,6.96
515,Ruteng,-8.6136,120.4721,66.52,66.52,69,85,2.35
516,Kahului,20.8947,-156.47,88.05,89.62,56,20,13.8
517,Kalengwa,-13.4659,25.0027,60.57,60.57,47,75,6.11
518,Terrace,54.5163,-128.6035,91.31,91.31,35,20,3.44
519,Port Macquarie,-31.4333,152.9167,59.9,59.9,44,0,2.68
520,Ambon City,-3.6954,128.1814,75.34,75.34,94,75,6.91
521,Marsá Maţrūḩ,31.3525,27.2453,77.83,77.83,67,0,7.52
522,Whitianga,-36.8333,175.7,58.42,58.42,84,100,12.21
523,Fukuechō,32.6881,128.8419,82.76,82.76,74,75,6.91
524,Griffith,41.5284,-87.4237,77.77,81.25,65,0,5.75
525,Coro,11.4045,-69.6734,82.31,82.31,77,75,17.18
526,Ivolginsk,51.7492,107.2837,49.66,49.66,81,75,8.95
